film_name,original_name,film_director,kinopoisk_rate,imdb_rate,difference
Одержимость,Whiplash,Дэмьен Шазелл,8.332,8.5,-0.16799999999999926
Молчание ягнят,The Silence of the Lambs,Джонатан Демме,8.33,8.6,-0.2699999999999996
Балто,Balto,Саймон Уэллс,8.327,7.1,1.2270000000000003
Терминатор 2: Судный день,Terminator 2: Judgment Day,Джеймс Кэмерон,8.31,8.5,-0.1899999999999995
ВАЛЛ·И,WALL·E,Эндрю Стэнтон,8.309,8.4,-0.09100000000000108
Твоё имя,Kimi no na wa.,Макото Синкай,8.306,8.4,-0.0940000000000012
Американская история X,American History X,Тони Кэй,8.296,8.5,-0.20400000000000063
Семь,Se7en,Дэвид Финчер,8.295,8.6,-0.3049999999999997
Зверополис,Zootopia,Байрон Ховард,8.291,8.0,0.29100000000000037
Летят журавли,,Михаил Калатозов,8.291,8.3,-0.009000000000000341
Служебный роман,,Эльдар Рязанов,8.29,8.3,-0.010000000000001563
Назад в будущее 2,Back to the Future Part II,Роберт Земекис,8.288,7.8,0.48800000000000043
Храброе сердце,Braveheart,Мэл Гибсон,8.28,8.3,-0.02000000000000135
Ходячий замок,Hauru no ugoku shiro,Хаяо Миядзаки,8.278,8.2,0.07800000000000118
Хористы,Les Choristes,Кристоф Барратье,8.277,7.9,0.3769999999999989
Тот самый Мюнхгаузен,,Марк Захаров,8.277,8.5,-0.22300000000000075
Однажды в Америке,Once Upon a Time in America,Серджио Леоне,8.273,8.4,-0.12700000000000067
Римские каникулы,Roman Holiday,Уильям Уайлер,8.271,8.0,0.2710000000000008
Красавица и чудовище,Beauty and the Beast,Гари Труздейл,8.268,8.0,0.2680000000000007
Любовь и голуби,,Владимир Меньшов,8.263,8.1,0.16300000000000026
"Добро пожаловать, или Посторонним вход воспрещен",,Элем Климов,8.263,8.1,0.16300000000000026
Ип Ман,Yip Man,Уилсон Ип,8.256,8.0,0.2560000000000002
Дневник памяти,The Notebook,Ник Кассаветис,8.254,7.8,0.45399999999999974
Шоу Трумана,The Truman Show,Питер Уир,8.253,8.1,0.15300000000000047
Баллада о солдате,,Григорий Чухрай,8.253,8.2,0.053000000000000824
Игра,The Game,Дэвид Финчер,8.252,7.8,0.45200000000000085
Изгой,Cast Away,Роберт Земекис,8.251,7.8,0.4509999999999996
В погоне за счастьем,The Pursuit of Happyness,Габриэле Муччино,8.247,8.0,0.2469999999999999
Человек дождя,Rain Man,Барри Левинсон,8.245,8.0,0.24499999999999922
12 стульев,,Леонид Гайдай,8.243,8.3,-0.057000000000000384
Отец солдата,,Резо Чхеидзе,8.241,8.6,-0.359
Малыш,The Kid,Чарльз Чаплин,8.239,8.3,-0.06099999999999994
Брат,,Алексей Балабанов,8.232,8.0,0.23199999999999932
Один дома,Home Alone,Крис Коламбус,8.232,7.6,0.6319999999999997
Блеф,Bluff storia di truffe e di imbroglioni,Серджио Корбуччи,8.231,7.5,0.7309999999999999
Общество мертвых поэтов,Dead Poets Society,Питер Уир,8.214,8.1,0.11400000000000077
Ромео и Джульетта,Romeo and Juliet,Франко Дзеффирелли,8.209,7.6,0.609
Гарри Поттер и философский камень,Harry Potter and the Sorcerer's Stone,Крис Коламбус,8.204,7.6,0.604000000000001
Нокдаун,Cinderella Man,Рон Ховард,8.202,8.0,0.20199999999999996
"Ирония судьбы, или С легким паром!",,Эльдар Рязанов,8.202,8.2,0.002000000000000668
Как украсть миллион,How to Steal a Million,Уильям Уайлер,8.202,7.6,0.6020000000000003
Русалочка,The Little Mermaid,Рон Клементс,8.2,7.6,0.5999999999999996
Как приручить дракона,How to Train Your Dragon,Дин ДеБлуа,8.198,8.1,0.09800000000000075
Золотой теленок,,Михаил Швейцер,8.192,8.3,-0.10800000000000054
Вам и не снилось...,,Илья Фрэз,8.188,7.9,0.28800000000000026
Мой сосед Тоторо,Tonari no Totoro,Хаяо Миядзаки,8.188,8.2,-0.011999999999998678
Джанго освобожденный,Django Unchained,Квентин Тарантино,8.184,8.4,-0.21600000000000108
Остров сокровищ,,Давид Черкасский,8.184,8.4,-0.21600000000000108
Лицо со шрамом,Scarface,Брайан Де Пальма,8.179,8.3,-0.12100000000000044
Семь жизней,Seven Pounds,Габриэле Муччино,8.177,7.6,0.577
Спасти рядового Райана,Saving Private Ryan,Стивен Спилберг,8.177,8.6,-0.42300000000000004
Могила светлячков,Hotaru no haka,Исао Такахата,8.176,8.5,-0.32399999999999984
Мальчик в полосатой пижаме,The Boy in the Striped Pyjamas,Марк Херман,8.173,7.8,0.3730000000000002
Старший сын,,Виталий Мельников,8.172,8.0,0.1720000000000006
Шестое чувство,The Sixth Sense,М. Найт Шьямалан,8.171,8.1,0.07099999999999973
Андрей Рублев,,Андрей Тарковский,8.169,8.1,0.06900000000000084
"Три билборда на границе Эббинга, Миссури","Three Billboards Outside Ebbing, Missouri",Мартин МакДона,8.168,8.2,-0.03200000000000003
Назад в будущее 3,Back to the Future Part III,Роберт Земекис,8.168,7.4,0.7679999999999989
Эффект бабочки,The Butterfly Effect,Эрик Бресс,8.167,7.6,0.5670000000000002
Берегись автомобиля,,Эльдар Рязанов,8.166,8.1,0.06600000000000072
Леди и бродяга,Lady and the Tramp,Клайд Джероними,8.166,7.3,0.8660000000000005
Прислуга,The Help,Тейт Тейлор,8.165,8.1,0.0649999999999995
Адвокат дьявола,The Devil's Advocate,Тейлор Хэкфорд,8.163,7.5,0.6630000000000003
Привидение,Ghost,Джерри Цукер,8.163,7.0,1.1630000000000003
На несколько долларов больше,Per qualche dollaro in più,Серджио Леоне,8.163,8.3,-0.13700000000000045
Знахарь,Znachor,Ежи Гоффман,8.16,7.8,0.3600000000000003
Свидетель обвинения,Witness for the Prosecution,Билли Уайлдер,8.159,8.4,-0.24099999999999966
Амадей,Amadeus,Милош Форман,8.154,8.3,-0.1460000000000008
Принцесса Мононоке,Mononoke-hime,Хаяо Миядзаки,8.153,8.4,-0.2469999999999999
Семь самураев,Shichinin no samurai,Акира Куросава,8.151,8.6,-0.44899999999999984
Невидимая сторона,The Blind Side,Джон Ли Хэнкок,8.149,7.6,0.5489999999999995
Звёздные войны: Эпизод 6 – Возвращение Джедая,Star Wars: Episode VI - Return of the Jedi,Ричард Маркуэнд,8.148,8.3,-0.15200000000000102
Апокалипсис сегодня,Apocalypse Now,Фрэнсис Форд Коппола,8.141,8.4,-0.25900000000000034
Гарри Поттер и узник Азкабана,Harry Potter and the Prisoner of Azkaban,Альфонсо Куарон,8.14,7.9,0.2400000000000002
Афера,The Sting,Джордж Рой Хилл,8.138,8.3,-0.1620000000000008
Темный рыцарь: Возрождение легенды,The Dark Knight Rises,Кристофер Нолан,8.137,8.4,-0.2629999999999999
Легенда о пианисте,La leggenda del pianista sull'oceano,Джузеппе Торнаторе,8.137,8.1,0.03700000000000081
Нюрнбергский процесс,Judgment at Nuremberg,Стэнли Крамер,8.134,8.2,-0.06599999999999895
Гран Торино,Gran Torino,Клинт Иствуд,8.131,8.1,0.031000000000000583
Аладдин,Aladdin,Рон Клементс,8.128,8.0,0.1280000000000001
Казино,Casino,Мартин Скорсезе,8.126,8.2,-0.07399999999999984
Звёздные войны: Эпизод 5 – Империя наносит ответный удар,Star Wars: Episode V - The Empire Strikes Back,Ирвин Кершнер,8.126,8.7,-0.5739999999999998
Ford против Ferrari,Ford v Ferrari,Джеймс Мэнголд,8.125,8.1,0.025000000000000355
Звёздочки на земле,Taare Zameen Par,Аамир Кхан,8.122,8.4,-0.27800000000000047
Белый плен,Eight Below,Фрэнк Маршалл,8.12,7.3,0.8199999999999994
Славные парни,Goodfellas,Мартин Скорсезе,8.117,8.7,-0.5829999999999984
Бешеные псы,Reservoir Dogs,Квентин Тарантино,8.114,8.3,-0.18599999999999994
В случае убийства набирайте «М»,Dial M for Murder,Альфред Хичкок,8.113,8.2,-0.08699999999999974
Счастливое число Слевина,Lucky Number Slevin,Пол МакГиган,8.112,7.7,0.4119999999999999
Танцующий с волками,Dances with Wolves,Кевин Костнер,8.11,8.0,0.10999999999999943
…А в душе я танцую,Inside I'm Dancing,Дэмиен О’Доннелл,8.109,7.8,0.30900000000000016
"Аты-баты, шли солдаты...",,Леонид Быков,8.108,7.8,0.3080000000000007
День сурка,Groundhog Day,Харольд Рэмис,8.104,8.0,0.1039999999999992
Человек-слон,The Elephant Man,Дэвид Линч,8.104,8.1,0.0039999999999995595
Брат 2,,Алексей Балабанов,8.1,7.8,0.2999999999999998
Новые времена,Modern Times,Чарльз Чаплин,8.099,8.5,-0.4009999999999998
Песнь моря,Song of the Sea,Томм Мур,8.094,8.1,-0.006000000000000227
Иди и смотри,,Элем Климов,8.094,8.3,-0.2060000000000013
Гарри Поттер и Дары Смерти: Часть II,Harry Potter and the Deathly Hallows: Part 2,Дэвид Йейтс,8.093,8.1,-0.006999999999999673
Одиннадцать друзей Оушена,Ocean's Eleven,Стивен Содерберг,8.092,7.7,0.39200000000000035
Меня зовут Кхан,My Name Is Khan,Каран Джохар,8.089,8.0,0.08900000000000041
Пираты Карибского моря: Сундук мертвеца,Pirates of the Caribbean: Dead Man's Chest,Гор Вербински,8.089,7.3,0.7890000000000006
Мужики!..,,Искра Бабич,8.089,7.7,0.38900000000000023
Психо,Psycho,Альфред Хичкок,8.083,8.5,-0.4169999999999998
Гонка,Rush,Рон Ховард,8.081,8.1,-0.019000000000000128
Жестокий романс,,Эльдар Рязанов,8.081,8.0,0.08099999999999952
Перед классом,Front of the Class,Питер Уэрнер,8.077,8.1,-0.022999999999999687
Корпорация монстров,"Monsters, Inc.",Пит Доктер,8.075,8.0,0.07499999999999929
Умница Уилл Хантинг,Good Will Hunting,Гас Ван Сент,8.075,8.3,-0.22500000000000142
Пятый элемент,The Fifth Element,Люк Бессон,8.075,7.7,0.3749999999999991
Заплати другому,Pay It Forward,Мими Ледер,8.074,7.2,0.8739999999999997
Малышка на миллион,Million Dollar Baby,Клинт Иствуд,8.073,8.1,-0.026999999999999247
Жизнь других,Das Leben der Anderen,Флориан Хенкель фон Доннерсмарк,8.072,8.4,-0.3280000000000012
Терминал,The Terminal,Стивен Спилберг,8.069,7.4,0.6690000000000005
Шерлок Холмс,Sherlock Holmes,Гай Ричи,8.068,7.6,0.46799999999999997
Мулан,Mulan,Тони Бэнкрофт,8.067,7.6,0.4670000000000005
